Category,Question_number,Field_name,data_type
index,NA,aid,int
R,0.1,Assessor,char
R,0.2,Assess_date,date
R,0.3,Assessor_2,char
A,1.1,Pub_type,char
A,1.2,Authors,char
A,1.3,Pub_year,int
A,1.4,Title,char
A,1.5,Journal,char
A,1.6,Vol,char
A,1.7,Page_num,char
A,1.8,Author_affil,char
A,1.9,Affil_type.academic,bin
A,1.9,Affil_type.pub_sec,bin
A,1.9,Affil_type.res_int,bin
A,1.9,Affil_type.cons,bin
A,1.9,Affil_type.non_prof,bin
A,1.9,Affil_type.priv_sec,bin
,1.9,Affil_type.int_org,bin
A,1.1,Funding,char
A,1.11,Linked_refs,char
I,2.1,Int_type.for_mgmt,bin
I,2.1,Int_type.agrofor,bin
I,2.1,Int_type.hab_mgmt,bin
I,2.1,Int_type.gov,bin
I,2.1,Int_type.emp,bin
I,2.1,Int_type.prod_cap,bin
I,2.1,Int_type.hum_cap,bin
I,2.1,Int_type.soc_cap,bin
I,2.1,Int_type.liv_alt,bin
I,2.1,Int_type.market,bin
I,2.1,Int_type.mark_acc,bin
I,2.1,Int_type.eco_ser,bin
I,2.1,Int_type.instit,bin
I,2.1,Int_type.non_mon,bin
I,2.2,Stated_int,char
I,2.3,Desired_out,char
I,2.4,Int_geo.local,bin
I,2.4,Int_geo.region,bin
I,2.4,Int_geo.national,bin
I,2.4,Int_geo.subnational,bin
I,2.4,Int_geo.international,bin
I,2.5,Int_dur,char
I,2.6,Impl_type.acad,bin
I,2.6,Impl_type.pub_sect,bin
I,2.6,Impl_type.res_inst,bin
I,2.6,Impl_type.cons,bin
I,2.6,Impl_type.non_prof,bin
I,2.6,Impl_type.priv_sect,bin
I,2.6,Impl_type.int_org,bin
I,2.6,Impl_type.comm,bin
S,3.1,Study_goal,char
S,3.2,Study_type.sys_rev,bin
S,3.2,Study_type.non_sys_rev,bin
S,3.2,Study_type.exp,bin
S,3.2,Study_type.quas_exp,bin
S,3.2,Study_type.non_exp,bin
S,3.3,Study_location,char
S,3.4,Study_country,char
BS,3.5,Biome.T_TSTMBF,bin
BS,3.5,Biome.T_TSTDBF,bin
BS,3.5,Biome.T_TSTCF,bin
BS,3.5,Biome.T_TBMF,bin
BS,3.5,Biome.T_TCF,bin
BS,3.5,Biome.T_BFT,bin
BS,3.5,Biome.T_MFWS,bin
BS,3.5,Biome.T_DXS,bin
BS,3.5,Biome.T_M,bin
S,3.6,Forest_type,char
S,3.7,Eval_affil_type.acad,bin
S,3.7,Eval_affil_type.pub_sec,bin
S,3.7,Eval_affil_type.res_Inst,bin
S,3.7,Eval_affil_type.cons,bin
S,3.7,Eval_affil_type.non_prof,bin
S,3.7,Eval_affil_type.priv_sec,bin
S,3.7,Eval_affil_type.int_org,bin
S,3.7,Eval_affil_type.comm,bin
S,3.8,Unit_analysis,char
S,3.9,Study_duration,char
S,3.1,Design.control,char
S,3.11,Design.comps,char
S,3.12,Comps_type.ba,bin
S,3.12,Comps_type.pa,bin
S,3.12,Comps_type.punc,bin
S,3.12,Comps_type.cont,bin
S,3.12,Comps_type.between,bin
S,3.12,Comps_type.spat,bin
S,3.12,Comps_type.none,bin
S,3.12,Comps_type.other,bin
S,3.13,Comps_notes,char
S,3.14,Disagg.gender,char
S,3.15,Disagg.soc_eco,char
S,3.16,Disagg.race,char
O,4.1,Stated_outcomes,char
O,4.2,No.outcomes,char
O,4.3,Portion_livelihood,char
O,4.4,Portion_livelihood_amount,char
O,5.1,Out_type.inc_con,bin
O,5.1,Out_type.cap_asset,bin
O,5.2,Out_subtype.mon_dir,bin
O,5.2,Out_subtype.mon_wage,bin
O,5.2,Out_subtype.mon_val,bin
O,5.2,Out_subtype.phys_cons,bin
O,5.2,Out_subtype.fin,bin
O,5.2,Out_subtype.nat_for,bin
O,5.2,Out_subtype.nat_land,bin
O,5.2,Out_subtype.phys_cap,bin
O,5.2,Out_subtype.hum_cap,bin
O,5.2,Out_subtype.health,bin
O,5.2,Out_subtype.soc_cap,bin
O,5.3,Indicators,char
O,5.4,Outcome.data_type,char
O,5.5,Outcome.direction_notes,char
P,6.1,Expl_mechanism,char
P,6.2,Stated_mech,char
P,6.3,PRIME.Productivity,bin
P,6.3,PRIME.Rights,bin
P,6.3,PRIME.Investments,bin
P,6.3,PRIME.Markets,bin
P,6.3,PRIME.Ecosystem,bin
P,6.4,Stated_model,char
P,6.5,Model_use.frame,bin
P,6.5,Model_use.validate,bin
P,6.5,Model_use.infer,bin
P,6.5,Model_use.analyze,bin
P,6.5,Model_use.other,bin
,6.6,Model_use_notes,char
